PLOT,BL_INFECTION,LOCATION,YEAR,ORIGINAL_DATASET,NAME,TIMESTAMP,NDRE_SUM,NDRE_MEAN,NDRE_STD,NDRE_MIN,NDRE_MAX,NDRE_VAR,NDRE_MEDIAN,NDRE_95PERCENTILE,NDVI_SUM,NDVI_MEAN,NDVI_STD,NDVI_MIN,NDVI_MAX,NDVI_VAR,NDVI_MEDIAN,NDVI_95PERCENTILE,GNDVI_SUM,GNDVI_MEAN,GNDVI_STD,GNDVI_MIN,GNDVI_MAX,GNDVI_VAR,GNDVI_MEDIAN,GNDVI_95PERCENTILE,BNDVI_SUM,BNDVI_MEAN,BNDVI_STD,BNDVI_MIN,BNDVI_MAX,BNDVI_VAR,BNDVI_MEDIAN,BNDVI_95PERCENTILE,NDREI_SUM,NDREI_MEAN,NDREI_STD,NDREI_MIN,NDREI_MAX,NDREI_VAR,NDREI_MEDIAN,NDREI_95PERCENTILE,NPCI_SUM,NPCI_MEAN,NPCI_STD,NPCI_MIN,NPCI_MAX,NPCI_VAR,NPCI_MEDIAN,NPCI_95PERCENTILE,GRVI_SUM,GRVI_MEAN,GRVI_STD,GRVI_MIN,GRVI_MAX,GRVI_VAR,GRVI_MEDIAN,GRVI_95PERCENTILE,NGBDI_SUM,NGBDI_MEAN,NGBDI_STD,NGBDI_MIN,NGBDI_MAX,NGBDI_VAR,NGBDI_MEDIAN,NGBDI_95PERCENTILE,TH_SUM,TH_MEAN,TH_STD,TH_MIN,TH_MAX,TH_VAR,TH_MEDIAN,TH_95PERCENTILE,CH_SUM,CH_MEAN,CH_STD,CH_MIN,CH_MAX,CH_VAR,CH_MEDIAN,CH_95PERCENTILE,CV_SUM,CV_MEAN,CV_STD,CV_MIN,CV_MAX,CV_VAR,CV_MEDIAN,CV_95PERCENTILE,CC_%,CC_MT2,CC_STD,CC_MIN,CC_MAX,CC_VAR,CC_MEDIAN,CC_95PERCENTILE
1,2.0,UNKNOWN,2024,Field 11_BCA 2 Bioz,BZ-17-1,2024-06-17,21620.709,0.57603043,0.0793914,0.2421574,0.76563346,0.006302994,0.58827484,0.6843952,34404.01,0.91660607,0.03941637,0.7029019,0.96961063,0.00155365,0.9278887,0.95202297,29436.78,0.78426254,0.05816527,0.52602035,0.91116846,0.003383199,0.7925184,0.8640227,34092.414,0.90831244,0.0281233,0.7505074,0.960378,0.00079092,0.91404533,0.9413401,27511.7,0.73297787,0.049842678,0.42431763,0.8347046,0.002484293,0.7446808,0.7863798,26331.264,0.70152867,0.03508657,0.43877384,0.81559813,0.001231067,0.70436066,0.7546096,18201.564,0.4849353,0.0717271,0.080050826,0.6372147,0.005144777,0.50024915,0.5668956,16241.704,0.43272138,0.043120403,0.21932411,0.5585392,0.001859369,0.4337145,0.5014313,1057391.1,28.171423,0.6051114,27.0,31.660004,0.36615983,28.089996,29.330017,12420959.0,330.85123,0.07764395,330.4638,330.98862,0.006028584,330.86786,330.94507,1571.7482,0.041886106,9.83e-06,0.041837055,0.041903496,9.66e-11,0.04188821,0.041897982,97.918686,4.7532306,0,0.000126601,0.000126601,0,0.000126601,0.000126601
1,2.0,UNKNOWN,2024,Field 11_BCA 2 Bioz,BZ-17-1,2024-06-17,20501.062,0.5509688,0.08402573,0.19582851,0.7615045,0.007060324,0.5628272,0.66750395,33521.402,0.900897,0.044993073,0.6894874,0.9743741,0.002024377,0.9119513,0.9485502,28547.012,0.7672095,0.064852856,0.47745153,0.9267494,0.004205893,0.7734527,0.8615537,33088.844,0.88927263,0.035670955,0.6908339,0.9693972,0.001272417,0.89402986,0.93885297,26282.488,0.7063473,0.06199434,0.3702869,0.8638251,0.003843298,0.71533006,0.78958493,24863.756,0.66821617,0.06290122,0.30351534,0.85871494,0.003956563,0.67234385,0.76492244,16629.834,0.44693097,0.07860289,0.023140496,0.6405097,0.006178414,0.45765287,0.5522697,14417.892,0.3874829,0.065300815,0.12902005,0.62247837,0.004264196,0.3877551,0.49370995,1108348.8,29.787153,0.64750373,27.820007,33.690002,0.41926107,29.880005,30.77002,12311193.0,330.77914,0.08762871,330.30212,330.97763,0.00767879,330.79544,330.88965,1554.8287,0.0417981,1.11e-05,0.04173782,0.041823182,1.23e-10,0.04180016,0.041812062,96.877716,4.7017984,0,0.000126363,0.000126363,0,0.000126363,0.000126363
1,2.0,UNKNOWN,2024,Field 11_BCA 2 Bioz,BZ-17-1,2024-06-17,23813.756,0.640742,0.07590312,0.31439766,0.83278775,0.005761283,0.6522479,0.74397933,34399.383,0.92556,0.03814179,0.7392753,0.98598325,0.001454796,0.9351611,0.9643256,30615.037,0.8237408,0.054611005,0.5700064,0.951224,0.002982362,0.8293599,0.9015651,34108.434,0.9177306,0.029226437,0.75089264,0.9805714,0.000854185,0.9221316,0.95735323,26521.422,0.7135976,0.06763043,0.3021594,0.89628875,0.004573876,0.7237708,0.80455154,25185.332,0.67764485,0.06671588,0.34607065,0.8794494,0.004451009,0.6817601,0.7799986,16580.096,0.4461123,0.087198496,-0.03848751,0.67774934,0.007603577,0.4586323,0.56363237,14441.031,0.38855293,0.07079484,0.13782991,0.6226415,0.00501191,0.3889138,0.5034642,1145763.1,30.828331,0.65883756,29.27002,35.070007,0.43406695,30.74002,32.140015,12296625.0,330.7717,0.09708503,330.30038,330.96002,0.009425503,330.7872,330.88876,1555.0947,0.041830804,1.23e-05,0.0417712,0.04185462,1.51e-10,0.041832764,0.04184561,96.79545,4.6981597,0,0.000126464,0.000126464,0,0.000126464,0.000126464
1,2.0,UNKNOWN,2024,Field 11_BCA 2 Bioz,BZ-17-1,2024-06-17,22686.668,0.6049442,0.081921004,0.17053364,0.81539977,0.00671105,0.61494124,0.72034657,35309.652,0.94154227,0.038505882,0.7312236,1.0,0.001482703,0.94936895,0.982296,30708.523,0.8188499,0.066797756,0.52238804,0.9722112,0.00446194,0.8263315,0.9142108,34875.062,0.92995995,0.033098746,0.76146436,0.992891,0.001095527,0.93484026,0.9734375,29961.322,0.7989282,0.07378143,0.3605442,1.0,0.0054437,0.8048632,0.903965,28280.72,0.7541131,0.070405535,0.41512477,0.9521739,0.004956939,0.756539,0.8629621,21208.871,0.5655394,0.098487,0.025746653,1.0,0.009699689,0.5749223,0.7037037,17967.727,0.4791122,0.073876776,0.11813905,0.8136792,0.005457778,0.48012656,0.5990393,1032752.6,27.538492,0.7645051,26.5,32.27002,0.584468,27.420013,29.040009,12409779.0,330.82312,0.09495818,330.2925,331.0013,0.009017056,330.84033,330.9342,1564.5604,0.04170804,1.2e-05,0.041641142,0.041730504,1.43e-10,0.04171021,0.041722044,97.41374,4.7280526,0,0.000126074,0.000126074,0,0.000126074,0.000126074
1,2.0,UNKNOWN,2024,Field 11_BCA 2 Bioz,BZ-17-1,2024-06-17,22562.78,0.6046549,0.08052153,0.25839415,0.81013805,0.006483717,0.61529624,0.7180028,34894.297,0.9351257,0.04018853,0.723842,1.0,0.001615118,0.94345874,0.97876734,30396.854,0.81460476,0.06527003,0.5440835,0.96309304,0.004260177,0.820683,0.9100788,34529.81,0.9253597,0.03255117,0.7407657,0.9910989,0.001059579,0.92928493,0.9703272,28998.465,0.77712566,0.07498153,0.40396425,1.0,0.00562223,0.7834089,0.88760364,27537.53,0.7379732,0.06857904,0.38038856,0.9534517,0.004703085,0.7389991,0.85040164,19907.88,0.53350604,0.09584542,-0.0544157,1.0,0.009186344,0.54562956,0.6603774,17182.898,0.46048576,0.06954889,0.10539419,0.7790262,0.004837049,0.4617737,0.5707109,1075939.8,28.834131,0.68732804,27.839996,33.950012,0.47241983,28.670013,30.25,12347353.0,330.80707,0.094148815,330.29187,331.0099,0.008863999,330.82245,330.91998,1562.4823,0.041879185,1.19e-05,0.041813962,0.04190486,1.42e-10,0.041881133,0.04189348,97.32378,4.7227235,0,0.000126597,0.000126597,0,0.000126597,0.000126597
2,5.0,UNKNOWN,2024,Field 11_BCA 2 Bioz,Olimar,2024-05-27,5674.2827,0.2561993,0.06517001,0.02750401,0.47259852,0.004247131,0.2556344,0.3633381,16688.996,0.7535195,0.07084444,0.62174875,0.94064903,0.005018935,0.7550971,0.86494744,11807.226,0.5331075,0.061601404,0.30924493,0.7809927,0.003794733,0.52970576,0.6391816,17343.21,0.7830617,0.046543602,0.6367741,0.92050445,0.002166307,0.78293747,0.8577149,13821.137,0.6240329,0.06952205,0.43617404,0.8503282,0.004833316,0.62176967,0.74064076,14687.484,0.6631514,0.041002255,0.49474823,0.80269873,0.001681185,0.6630416,0.7301599,8414.775,0.37993422,0.09473035,0.08094645,0.6499107,0.008973839,0.37816834,0.5367678,9615.387,0.43414134,0.050982077,0.23123123,0.6036923,0.002599172,0.43407,0.51616144,646082.1,29.17113,0.62265044,27.440002,31.52002,0.38769355,29.149994,30.24002,7319862.0,330.51227,0.06811719,330.28363,330.64484,0.004639951,330.52908,330.5925,933.2505,0.04214034,8.68e-06,0.042111184,0.04215724,7.54e-11,0.04214248,0.042150564,58.19366,2.824604,0,0.0001275,0.0001275,0,0.0001275,0.0001275
2,5.0,UNKNOWN,2024,Field 11_BCA 2 Bioz,Olimar,2024-05-27,5603.9355,0.25055522,0.061504643,0.016791422,0.47561917,0.003782821,0.2493597,0.35104775,16853.375,0.7535254,0.07221713,0.6256103,0.93097645,0.005215314,0.753825,0.86868644,12174.475,0.5443306,0.058586452,0.389738,0.77560437,0.003432372,0.54010516,0.64693046,17792.635,0.7955225,0.042336695,0.6810631,0.9297131,0.001792396,0.7950855,0.86424744,14034.771,0.62750435,0.07489295,0.4411639,0.8340914,0.005608955,0.62457156,0.7530537,15300.431,0.68409204,0.03905706,0.53836316,0.8300565,0.001525454,0.6829976,0.74880123,8220.821,0.3675586,0.09513117,0.104166664,0.6522095,0.009049938,0.35990655,0.53186274,10013.506,0.44771114,0.04609931,0.22019635,0.6109342,0.002125146,0.4464,0.52477115,747055.4,33.401478,1.0255563,30.830017,37.04001,1.0517657,33.28,35.320007,7389991.5,330.347,0.05039947,330.28146,330.5789,0.002540107,330.3342,330.444,952.87634,0.042604167,6.5e-06,0.042595718,0.042634077,4.22e-11,0.04260252,0.04261668,59.43296,2.884779,0,0.000128968,0.000128968,0,0.000128968,0.000128968
2,5.0,UNKNOWN,2024,Field 11_BCA 2 Bioz,Olimar,2024-05-27,6258.4062,0.27725318,0.06697963,-0.05041186,0.51609176,0.004486271,0.27665198,0.38630864,17217.365,0.76274043,0.07066209,0.6383687,0.93797636,0.004993131,0.762003,0.87825006,12529.0205,0.5550414,0.062565364,0.3833139,0.8096904,0.003914425,0.54823774,0.66957104,17910.105,0.7934293,0.045031466,0.6612766,0.93770385,0.002027833,0.79298615,0.869316,14076.235,0.62358737,0.07639327,0.43144232,0.8452381,0.005835931,0.61923075,0.75448805,15022.084,0.6654879,0.045564707,0.49008498,0.842155,0.002076143,0.66389245,0.7431963,8421.496,0.37307957,0.09657218,0.08760684,0.65559983,0.009326186,0.3660948,0.53924537,9731.32,0.4311047,0.049045574,0.19963785,0.61705834,0.002405468,0.43032968,0.51131845,796995.9,35.307537,0.95207673,32.059998,38.309998,0.9064501,35.29001,36.830017,7458589.0,330.3542,0.06752549,330.27435,330.60123,0.004559692,330.328,330.51666,945.70483,0.041902307,8.56e-06,0.04189218,0.04193364,7.34e-11,0.041898984,0.041922916,58.99039,2.86313,0,0.000126841,0.000126841,0,0.000126841,0.000126841
2,5.0,UNKNOWN,2024,Field 11_BCA 2 Bioz,Olimar,2024-05-27,6281.6523,0.2740218,0.064687,0.051359907,0.49966884,0.004184408,0.2708093,0.38438818,17373.424,0.7578676,0.06646806,0.6376216,0.9292815,0.004418003,0.7558442,0.86678815,12218.6455,0.5330085,0.06304603,0.3447099,0.7720907,0.003974802,0.5265885,0.6453393,18121.607,0.79051256,0.043597843,0.67093104,0.918954,0.001900772,0.78881717,0.86357933,14168.616,0.61806893,0.06571273,0.44296694,0.8059561,0.004318162,0.61356586,0.7286428,15205.458,0.66329676,0.037664354,0.526148,0.791435,0.001418604,0.6618622,0.7264124,8880.956,0.38740787,0.088445246,0.138881,0.6630472,0.007822561,0.38435394,0.5331992,10305.133,0.44953313,0.04521079,0.28604788,0.61533195,0.002044016,0.4506892,0.5212702,694548.3,30.297909,0.44720915,28.910004,32.070007,0.19999602,30.279999,31.089996,7576833.0,330.54962,0.067453995,330.28873,330.68784,0.004550042,330.56464,330.62555,968.0905,0.0422261,8.62e-06,0.04219277,0.042243753,7.43e-11,0.04222802,0.042235795,60.34594,2.929073,0,0.000127745,0.000127745,0,0.000127745,0.000127745
2,5.0,UNKNOWN,2024,Field 11_BCA 2 Bioz,Olimar,2024-05-27,6590.4976,0.2837432,0.06409847,0.06417911,0.4932421,0.004108613,0.2830874,0.38792732,17882.5,0.76990336,0.06507854,0.64909846,0.9301087,0.004235217,0.77128506,0.8732384,12857.383,0.5535508,0.061130747,0.37577337,0.7856187,0.003736968,0.55021065,0.65955645,18660.113,0.8033813,0.0413706,0.67839295,0.9293675,0.001711527,0.8032864,0.8706031,14619.198,0.6294072,0.06688546,0.44047248,0.82684565,0.004473664,0.6282867,0.739592,15716.712,0.6766588,0.03954602,0.51984257,0.8236994,0.001563888,0.67636955,0.7416463,9002.743,0.38759962,0.09201271,0.10877193,0.648602,0.008466339,0.38668823,0.5383752,10554.673,0.45441458,0.045266178,0.2833175,0.5890411,0.002049027,0.4555184,0.5262624,726620.75,31.283585,0.64550054,29.570007,33.99002,0.41667092,31.220001,32.5,7676681.5,330.5269,0.07952074,330.28503,330.69373,0.006323548,330.55087,330.6157,974.266,0.041951343,1.01e-05,0.041920647,0.041972518,1.02e-10,0.041954387,0.041962616,60.73756,2.9476023,0,0.000126923,0.000126923,0,0.000126923,0.000126923
